OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1449,GO-2024563156,2024,3/14/2024 4:00:00 AM,1701,2024,3/14/2024 4:00:00 AM,1701,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1450,GO-2024567924,2024,3/14/2024 4:00:00 AM,950,2024,3/15/2024 4:00:00 AM,1029,D52,Streets/Roadways/Highway,NO,NO,,,,,Lesbian,,No,Criminal Harassment,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),Yes
1451,GO-2024571030,2024,3/15/2024 4:00:00 AM,1629,2024,3/15/2024 4:00:00 AM,1726,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1452,GO-2024588511,2024,3/17/2024 4:00:00 AM,1112,2024,3/18/2024 4:00:00 AM,625,D11,NA,NO,NO,Black,,,,,,No,Harassing Communications,088,High Park North (88),088,High Park North (88),No
1453,GO-2024597389,2024,3/18/2024 4:00:00 AM,1725,2024,3/19/2024 4:00:00 AM,929,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,057,Broadview North (57),057,Broadview North (57),No
1454,GO-2024598308,2024,3/19/2024 4:00:00 AM,1138,2024,3/19/2024 4:00:00 AM,1138,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,2Slgbtq+,,Yes,Mischief Under $5000,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),No
1455,GO-2024773580,2024,3/20/2024 4:00:00 AM,1744,2024,4/11/2024 4:00:00 AM,724,D53,Public Transportation,NO,NO,Black,,,,,,No,Assault Causing Bodily Harm,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),Yes
1456,GO-2024608595,2024,3/20/2024 4:00:00 AM,1635,2024,3/20/2024 4:00:00 AM,1658,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1457,GO-2024607090,2024,3/20/2024 4:00:00 AM,1030,2024,3/20/2024 4:00:00 AM,1346,D11,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,,,,No,Mischief Under $5000,088,High Park North (88),088,High Park North (88),No
1458,GO-2024605739,2024,3/20/2024 4:00:00 AM,1042,2024,3/20/2024 4:00:00 AM,1042,D52,NA,NO,NO,,,,Jewish,,,No,Uttering Threats - Bodily Harm,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),No
1459,GO-2024623292,2024,3/22/2024 4:00:00 AM,700,2024,3/22/2024 4:00:00 AM,1545,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,035,Westminster-Branson (35),035,Westminster-Branson (35),No
1460,GO-2024622494,2024,3/22/2024 4:00:00 AM,1352,2024,3/22/2024 4:00:00 AM,1355,D52,Public Transportation,NO,NO,Black,,,,,,No,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),Yes
